,datetime,trade_code,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn,free_turn,total_shares,mkt_cap,free_float_shares,mkt_freeshares,annualstdevr_100w,dividendyield2,trade_status
123,2003/1/2,000528.SZ,6.98,7.01,6.77,6.79,562910,3860583.6,-0.16,-2.3022,1.97111,0.4705,0.4705,327536793,2223974824,119636793,812333824.5,33.1127,0.7364,1
124,2003/1/2,000529.SZ,4.57,4.59,4.46,4.48,484600,2183445.6,-0.09,-1.9694,3.035452,0.2243,0.2243,396515872,1776391107,216052980,967917350.4,26.8181,NA,1
125,2003/1/2,000530.SZ,7.11,7.2,7.05,7.08,283308,2010892.4,-0.38,-5.0938,2.69222,0.288,0.288,350014975,2478106023,98370225,696461193,31.7195,1.4124,1
126,2003/1/2,000531.SZ,6.55,6.56,6.2,6.22,291363,1847235.6,-0.3,-4.6012,2.870236,0.2702,0.2702,266521260,1657762237,107821588,670650277.4,26.4063,2.5723,1
127,2003/1/2,000532.SZ,8.08,8.08,7.6,7.81,344311,2679612,-0.27,-3.3416,2.611089,0.2832,0.2832,283909859,2217335999,121596962,949672273.2,39.17,0.4925,1
128,2003/1/2,000533.SZ,3.71,3.72,3.61,3.68,582303,2138975.1,-0.03,-0.8086,1.549205,0.2859,0.2859,575680000,2118502400,203705600,749636608,33.099,NA,1
129,2003/1/2,000534.SZ,6,6.02,5.9,5.9,183800,1092337,-0.1,-1.6667,2.376417,0.2083,0.2083,208261325,1228741818,88229325,520553017.5,35.9373,NA,1
130,2003/1/2,000536.SZ,6.1,6.36,6.1,6.22,490629,3052598,-0.02,-0.3205,1.194085,1.0791,1.1518,121927193,758387140.5,42595805,264945907.1,41.3239,NA,1
131,2003/1/2,000537.SZ,10.85,11,10.08,10.09,419295,4325075.2,-0.98,-8.8528,3.509019,0.2522,0.2522,406148645,4098039828,166228258,1677243123,35.7498,0.6938,1
132,2003/1/2,000538.SZ,17.23,17.25,16.7,16.9,73683,1249297.9,-0.47,-2.7058,2.403348,0.1254,0.1254,185817976,3140323794,58750486,992883213.4,28.4363,1.1834,1
133,2003/1/2,000539.SZ,9.8,9.98,9.7,9.8,714660,6992574.4,-0.36,-3.5433,7.482738,0.1826,0.1826,2659404000,26062159200,391476000,3836464800,23.4044,2.2449,1
134,2003/1/2,000540.SZ,22.2,22.24,22.05,22.16,45338,1005039.1,-0.06,-0.27,4.994361,0.0402,0.0402,326811466,7242142087,112881708,2501458649,19.5327,NA,1
135,2003/1/2,000541.SZ,11.4,11.48,11,11.08,429085,4804941,-0.42,-3.6522,3.603985,0.2918,0.2918,358448259,3971606710,147035409,1629152332,19.8623,3.6101,1
136,2003/1/2,000543.SZ,5.92,5.99,5.81,5.86,316827,1867860.7,-0.06,-1.0135,1.579611,0.2253,0.2253,773008816,4529831662,140643816,824172761.8,27.6726,2.1331,1
137,2003/1/2,000544.SZ,4.12,4.22,4.05,4.13,451200,1864284.3,-0.01,-0.2415,1.986675,0.4149,0.4149,269459799,1112868970,108741549,449102597.4,40.005,NA,1
138,2003/1/2,000545.SZ,6.2,6.29,6.1,6.18,235500,1461235,-0.06,-0.9615,1.221702,0.3458,0.3458,135635820,838229367.6,68095820,420832167.6,35.8118,NA,1
139,2003/1/2,000546.SZ,4.77,4.85,4.72,4.74,319818,1526903.8,-0.05,-1.0438,1.455,0.3761,0.3761,169506479,803460710.5,85026479,403025510.5,43.9639,NA,1
140,2003/1/2,000547.SZ,7.6,8.18,7.55,7.98,1934713,15345214.8,0.34,4.4503,1.677613,2.6296,2.6296,122423174,976936928.5,73573533,587116793.3,33.4819,NA,1
141,2003/1/2,000548.SZ,5.95,6.04,5.87,5.9,355675,2108944,-0.08,-1.3378,1.677438,0.2018,0.2018,340608048,2009587483,176230848,1039762003,29.4069,NA,1
